Country,IMF_Estimate,IMF_Year,WB_Estimate,WB_Year,CIA_Estimate,CIA_Year
China,30074380,2022,24273360,2020,23009780,2020
United States,25035164,2022,20936600,2020,19846720,2020
India,11665486,2022,9907028,2020,8443360,2020
Japan,6109961,2022,5328033,2019,5224850,2019
Germany,5316933,2022,4469546,2020,4238800,2020
Russia,4649674,2022,4133084,2020,3875690,2020
Indonesia,4023501,2022,3302377,2020,3130470,2020
Brazil,3782763,2022,3153597,2020,2989430,2020
United Kingdom,3776044,2022,3019057,2020,2797980,2020
France,3688323,2022,3115307,2020,2832170,2020
Turkey,3320994,2022,2371568,2020,2393960,2020
Italy,3022162,2022,2491740,2020,2322140,2020
Mexico,2919875,2022,2428201,2020,2306320,2020
South Korea,2765834,2022,2233001,2020,2187800,2020
Canada,2240390,2022,1827010,2020,1742790,2020
Spain,2215992,2022,1815204,2020,1714860,2020
Saudi Arabia,2018260,2022,1627982,2020,1543240,2020
Egypt,1661955,2022,1290208,2020,1223040,2020
Taiwan,1621702,2022,,,1143277,2019
Australia,1615286,2022,1349040,2020,1250900,2020
Iran,1599249,2022,1101658,2020,1044310,2020
Poland,1599020,2022,1300375,2020,1223460,2020
Pakistan,1512476,2022,1077210,2020,945480,2020
Thailand,1479644,2022,1272885,2020,1206620,2020
Bangladesh,1345646,2022,837064,2020,793490,2020
Vietnam,1299690,2022,842042,2020,798210,2020
Nigeria,1275297,2022,1069189,2020,1013530,2020
Netherlands,1226656,2022,1033018,2020,945480,2020
Argentina,1207228,2022,942367,2020,893310,2020
Philippines,1154875,2022,919424,2020,871560,2020
Malaysia,1096507,2022,902586,2020,855600,2020
Colombia,964743,2022,741128,2020,683940,2020
South Africa,949846,2022,717389,2020,680040,2020
United Arab Emirates,814733,2022,683523,2019,655790,2019
Switzerland,737838,2022,616263,2020,590710,2020
Romania,731466,2022,616110,2020,556070,2020
Belgium,723090,2022,600544,2020,557110,2020
Singapore,700980,2022,560200,2020,531040,2020
Sweden,684458,2022,564916,2020,524750,2020
Ireland,666309,2022,467567,2020,447970,2020
Algeria,600668,2022,494125,2020,468400,2020
Austria,599470,2022,491315,2020,463120,2020
Kazakhstan,596666,2022,501279,2020,475180,2020
Chile,575516,2022,479199,2020,445880,2020
Ukraine,,,545057,2020,516680,2020
Iraq,524210,2022,392713,2020,372270,2020
Peru,521841,2022,391680,2020,371290,2020
Hong Kong,518743,2022,443204,2020,420130,2020
Czech Republic,514732,2022,446544,2020,409970,2020
Israel,496841,2022,385773,2020,353390,2020
Portugal,432063,2022,355500,2020,331640,2020
Norway,425612,2022,339972,2020,342060,2020
Denmark,411039,2022,352208,2020,326200,2020
Hungary,409834,2022,322562,2020,302320,2020
Greece,387801,2022,305005,2020,292400,2020
Morocco,359671,2022,273663,2020,259420,2020
Ethiopia,347847,2022,278552,2020,264050,2020
Uzbekistan,334318,2022,252573,2020,235021,2019
Finland,324829,2022,282563,2020,261390,2020
Sri Lanka,318690,2022,289888,2020,274800,2020
Kenya,311753,2022,239401,2020,227638,2019
Qatar,303596,2022,259147,2020,255010,2019
New Zealand,261039,2022,224989,2020,210877,2019
Myanmar,260274,2022,260816,2020,277909,2019
Dominican Republic,256446,2022,194576,2020,197735,2019
Kuwait,248113,2022,218608,2019,209738,2019
Angola,245442,2022,214895,2020,212285,2019
Ecuador,229815,2022,192246,2020,197631,2019
Ghana,217525,2022,173894,2020,164640,2019
Slovakia,211118,2022,173768,2020,178513,2019
Sudan,207713,2022,186087,2020,168280,2019
Tanzania,207550,2022,161177,2020,149785,2019
Belarus,201967,2022,189854,2020,181286,2019
Bulgaria,198349,2022,168799,2020,161654,2019
Venezuela,191329,2022,506339,2011,269068,2018
Oman,190475,2022,141533,2019,135814,2019
Guatemala,185849,2022,149267,2020,143416,2019
Ivory Coast,181533,2022,143979,2020,134048,2019
Azerbaijan,178679,2022,146111,2020,138510,2020
Serbia,164835,2022,132850,2020,116339,2019
Panama,159863,2022,115531,2020,133587,2019
Tunisia,151495,2022,121279,2020,125783,2019
Croatia,150433,2022,115361,2020,126625,2019
Nepal,141161,2022,116802,2020,97749,2019
Cuba,,,,,137000,2017
Puerto Rico,135277,2022,112683,2020,110238,2019
Uganda,132010,2022,105075,2020,96838,2019
Lithuania,130670,2022,108252,2020,103756,2019
Costa Rica,129950,2022,107138,2020,99146,2019
DR Congo,128535,2022,101302,2020,95291,2019
Libya,128389,2022,74532,2020,102842,2019
Jordan,123351,2022,105660,2020,101738,2019
Cameroon,123341,2022,100151,2020,94248,2019
Bolivia,118802,2022,97672,2020,100445,2019
Turkmenistan,117787,2022,96235,2019,86858,2018
Paraguay,108290,2022,92815,2020,89362,2019
Slovenia,105450,2022,83151,2020,81614,2019
Uruguay,96810,2022,79184,2020,74638,2019
Luxembourg,91107,2022,74836,2020,70966,2019
Cambodia,89289,2022,73932,2020,72356,2019
Bahrain,87905,2022,73476,2020,73870,2019
Lebanon,,,83876,2020,99761,2019
Afghanistan,,,81268,2020,78557,2019
Zambia,76325,2022,63417,2020,61985,2019
Georgia,73579,2022,55201,2020,55776,2019
Senegal,72703,2022,58291,2020,55324,2019
Latvia,72033,2022,60886,2020,59102,2019
Honduras,69684,2022,53689,2020,55825,2019
El Salvador,69285,2022,55126,2020,56636,2019
Laos,68573,2022,59910,2020,56110,2019
Yemen,67454,2022,92756,2013,73630,2017
Bosnia and Herzegovina,62165,2022,51219,2020,49224,2019
Estonia,61389,2022,51106,2020,48987,2019
Burkina Faso,58812,2022,47642,2020,44266,2019
Mali,56051,2022,47357,2020,45637,2019
Benin,53699,2022,42500,2020,38794,2019
Madagascar,51849,2022,44114,2020,44419,2019
Albania,51189,2022,39211,2020,39859,2019
Syria,,,,,50280,2015
Armenia,49767,2022,39364,2020,40384,2019
Mozambique,48040,2022,40536,2020,38420,2020
Nicaragua,47273,2022,36899,2020,35392,2019
Tajikistan,47241,2022,36800,2020,31502,2019
Mongolia,47115,2022,39669,2020,39723,2019
Botswana,47046,2022,39791,2020,40928,2019
Cyprus,44762,2022,34385,2020,35353,2019
Guinea,43922,2022,37002,2020,32720,2019
Trinidad and Tobago,42136,2022,35031,2020,36514,2019
Moldova,41882,2022,34036,2020,34680,2019
North Macedonia,40927,2022,35265,2020,34333,2019
Zimbabwe,40408,2022,43034,2020,41533,2019
Macau,40369,2022,37537,2020,79392,2019
North Korea,,,,,40000,2015
Kyrgyzstan,39214,2022,32728,2020,33918,2019
Gabon,39093,2022,33810,2020,32480,2019
Papua New Guinea,39083,2022,38709,2020,38218,2019
Haiti,38198,2022,33357,2020,32724,2019
Niger,37648,2022,30563,2020,28544,2019
Rwanda,37586,2022,28676,2020,28118,2019
Malawi,35078,2022,30004,2020,19741,2019
Palestine,33996,2022,27332,2020,21220,2014
Guyana,33761,2022,15500,2020,10240,2019
Jamaica,32818,2022,27307,2020,28779,2019
Mauritius,32013,2022,25997,2020,28947,2019
Brunei,31904,2022,28726,2020,26906,2019
Mauritania,30013,2022,24443,2020,23520,2019
Chad,29927,2022,26337,2020,25190,2019
Malta,29367,2022,22398,2020,22133,2019
Equatorial Guinea,29117,2022,25172,2020,25164,2019
Namibia,28021,2022,23839,2020,24040,2019
Kosovo,25362,2022,20182,2020,20396,2019
Iceland,24888,2022,20233,2020,20187,2019
Congo,23031,2022,20078,2020,19763,2019
Togo,22781,2022,18409,2020,12904,2019
Somalia,20642,2022,13909,2020,20440,2017
Sierra Leone,16386,2022,13868,2020,13425,2019
Montenegro,16195,2022,12787,2020,13357,2019
Bahamas,15661,2022,12762,2020,14450,2019
South Sudan,13633,2022,13231,2015,20010,2017
Eswatini,12725,2022,10272,2020,9898,2019
Fiji,12685,2022,10400,2020,12178,2019
Maldives,12071,2022,7441,2020,10370,2019
New Caledonia,,,,,11110,2017
Burundi,10898,2022,9170,2020,8667,2019
Suriname,10707,2022,9982,2020,9606,2019
Bhutan,9937,2022,8880,2020,9029,2019
Liberia,8841,2022,7223,2020,7049,2019
Monaco,,,,,7672,2015
Eritrea,7611,2022,5224,2011,9702,2017
Isle of Man,,,,,6792,2015
Gambia,6776,2022,5505,2020,5218,2019
Djibouti,6619,2022,5713,2020,5388,2019
Lesotho,6395,2022,5152,2020,5747,2019
Guam,,,,,5793,2016
Jersey,,,,,5569,2016
French Polynesia,,,,,5490,2017
Central African Republic,5460,2022,4731,2020,4483,2019
Bermuda,,,5449,2019,5228,2019
Guinea-Bissau,5406,2022,3835,2020,3821,2019
East Timor,5347,2022,4424,2020,4593,2019
Andorra,5301,2022,,,3327,2015
Aruba,5066,2022,4098,2017,4158,2017
Barbados,5010,2022,3902,2020,4488,2019
Cayman Islands,,,4985,2019,4591,2018
Liechtenstein,,,,,4978,2014
Cape Verde,4823,2022,3546,2020,3944,2019
Belize,4224,2022,2567,2020,2734,2019
Curaçao,,,4020,2019,3856,2019
U.S. Virgin Islands,,,,,3872,2016
Seychelles,3725,2022,2530,2020,2852,2019
Guernsey,,,,,3465,2015
Comoros,3214,2022,2881,2020,2603,2019
Saint Lucia,3008,2022,2377,2020,2823,2019
San Marino,2452,2022,2148,2019,2008,2018
Greenland,,,,,2413,2015
Antigua and Barbuda,2224,2022,1855,2020,2127,2019
Grenada,2098,2022,1788,2020,1908,2019
Gibraltar,,,,,2044,2014
Faroe Islands,,,,,2001,2014
Saint Vincent and the Grenadines,1751,2022,1417,2020,1380,2019
Solomon Islands,1671,2022,1799,2020,1783,2019
Saint Kitts and Nevis,1619,2022,1305,2020,1396,2019
Sint Maarten,,,1471,2018,1436,2018
Northern Mariana Islands,,,,,1242,2016
Samoa,1183,2022,1336,2019,1285,2019
São Tomé and Príncipe,1069,2022,937,2020,853,2019
Dominica,966,2022,751,2020,855,2019
Vanuatu,922,2022,895,2020,945,2019
Turks and Caicos Islands,,,863,2020,1117,2019
Tonga,666,2022,695,2019,667,2019
American Samoa,,,,,658,2016
Saint Martin,,,,,562,2005
British Virgin Islands,,,,,500,2017
Micronesia,386,2022,411,2019,390,2018
Cook Islands,,,,,300,2016
Kiribati,268,2022,289,2020,267,2019
Saint Pierre and Miquelon,,,,,261,2015
Marshall Islands,245,2022,247,2019,227,2018
Palau,236,2022,330,2019,316,2019
Falkland Islands,,,,,206,2015
Anguilla,,,,,175,2009
Montserrat,,,,,167,2011
Nauru,145,2022,152,2019,145,2019
Tuvalu,63,2022,55,2020,49,2019
Wallis and Futuna,,,,,60,2004
"Saint Helena, Ascension and Tristan da Cunha",,,,,31,2009
Niue,,,,,10,2003
Tokelau,,,,,8,2017
